id,ra,dec,ra_error,dec_error,nobs_b,mag_b,err_mag_b,nobs_v,mag_v,err_mag_v,nobs_u,mag_u,err_mag_u,nobs_g,mag_g,err_mag_g,nobs_r,mag_r,err_mag_r,nobs_i,mag_i,err_mag_i,nobs_z_s,mag_z_s,err_mag_z_s,nobs_y,mag_y,err_mag_y
125-0724691,301.437669,35.561936,0.00013833333,0.00014638889,0,,,0,,,0,,,2,15.248,0.027,2,14.304,0.015,1,13.921,0.026,0,,,0,,
125-0724283,301.407084,35.585907,5.4444445e-05,1.3888889e-05,2,13.815,0.002,2,12.525,0.016,0,,,2,13.115,0.011,2,12.097,0.015,2,11.669,0.006,0,,,0,,
125-0724563,301.428012,35.582748,0.00019,0.00014805555,0,,,0,,,0,,,1,17.31,0.135,1,15.81,0.095,0,,,0,,,0,,
125-0724601,301.430893,35.585578,9.888889e-05,7.555556e-05,1,17.139,0.141,1,16.058,0.09,0,,,2,16.805,0.234,2,15.885,0.217,1,15.338,0.15,0,,,0,,
125-0723717,301.363625,35.621556,0.00011333333,9.472222e-05,0,,,0,,,0,,,1,16.433,0.046,1,15.379,0.046,1,14.834,0.064,0,,,0,,
125-0723826,301.372258,35.617391,3.4444445e-05,6.222222e-05,2,16.265,0.091,2,15.51,0.031,0,,,2,15.756,0.008,2,15.105,0.008,2,14.837,0.0,0,,,0,,
125-0723636,301.357194,35.625747,4.166667e-05,2.388889e-05,2,15.915,0.086,2,15.059,0.007,0,,,2,15.412,0.056,2,14.805,0.004,2,14.512,0.025,0,,,0,,
125-0723896,301.378099,35.621908,0.00018055555,3.4166667e-05,2,14.637,0.002,2,14.066,0.007,0,,,2,14.294,0.018,2,13.881,0.024,0,,,0,,,0,,
125-0723745,301.365779,35.632867,2.4722223e-05,5.4722223e-05,0,,,0,,,0,,,1,17.64,0.136,1,16.1,0.096,1,15.321,0.115,0,,,0,,
125-0723678,301.360364,35.636453,8.0555554e-05,3.8888888e-05,0,,,0,,,0,,,1,17.421,0.12,1,16.597,0.158,1,16.068,0.213,0,,,0,,
125-0723783,301.368965,35.628165,7.4166666e-05,9.25e-05,2,15.161,0.004,2,14.727,0.035,0,,,2,14.887,0.034,2,14.581,0.044,2,14.435,0.028,0,,,0,,
125-0723829,301.37235,35.633262,8.916667e-05,1.7222223e-05,0,,,0,,,0,,,1,16.921,0.093,1,16.263,0.138,1,16.129,0.244,0,,,0,,
125-0723695,301.361644,35.640977,2.5833335e-05,4.1944444e-05,2,14.999,0.045,2,14.312,0.001,0,,,2,14.614,0.019,2,14.111,0.002,2,13.927,0.015,0,,,0,,
125-0724397,301.415874,35.607783,7.0277776e-05,5.6666664e-05,1,7.954,0.002,1,7.786,0.001,0,,,1,7.823,0.001,1,7.78,0.001,1,7.792,0.002,1,7.9,0.002,0,,
125-0724207,301.401641,35.623193,7.833334e-05,4.6388886e-05,1,9.011,0.003,1,8.813,0.002,0,,,1,8.871,0.002,1,8.827,0.002,1,8.882,0.004,1,8.998,0.004,0,,
125-0724762,301.443308,35.574274,3.5e-05,2.0277777e-05,2,15.417,0.011,2,14.749,0.035,0,,,2,14.994,0.025,2,14.568,0.033,2,14.355,0.014,0,,,0,,
125-0725057,301.466184,35.554964,0.00016444444,5.8055557e-05,1,17.206,0.13,1,16.28,0.101,0,,,1,16.64,0.064,1,15.93,0.083,0,,,0,,,0,,
125-0725102,301.470449,35.558433,6.75e-05,9.277777e-05,1,16.968,0.107,1,16.13,0.087,0,,,2,16.453,0.065,2,15.617,0.002,2,15.247,0.1,0,,,0,,
125-0725158,301.475457,35.554089,0.0001175,0.00010805555,2,15.074,0.126,2,14.463,0.02,0,,,2,14.694,0.014,2,14.269,0.042,2,14.002,0.019,0,,,0,,
125-0725172,301.476093,35.571704,3.2777778e-05,1.3055555e-05,2,13.609,0.002,2,12.396,0.005,0,,,2,12.96,0.016,2,12.006,0.01,2,11.592,0.004,1,11.35,0.022,0,,
125-0725266,301.482627,35.552236,0.00013805556,0.000104722225,1,17.494,0.193,1,16.411,0.137,0,,,1,16.872,0.095,1,16.11,0.123,1,15.79,0.191,0,,,0,,
125-0725243,301.48129,35.557627,4.6666664e-05,5.0833332e-05,2,16.164,0.002,2,15.269,0.059,0,,,2,15.622,0.032,2,14.832,0.028,2,14.47,0.013,0,,,0,,
125-0725450,301.496659,35.552335,3.6944446e-05,2.4722223e-05,2,12.573,0.017,2,11.427,0.002,0,,,2,11.944,0.015,2,11.075,0.011,3,10.681,0.008,1,10.481,0.011,0,,
125-0725459,301.497697,35.558172,0.00021388888,0.00011194444,2,15.066,0.028,2,14.329,0.008,0,,,2,14.665,0.016,2,14.103,0.002,0,,,1,13.33,0.128,0,,
125-0725599,301.508566,35.544701,4.611111e-05,1.1944445e-05,0,,,0,,,0,,,1,18.022,0.224,1,16.002,0.106,1,14.938,0.083,0,,,0,,
125-0725676,301.515541,35.544947,0.000103888895,7.2222224e-06,0,,,0,,,0,,,1,17.615,0.14,1,16.935,0.19,0,,,0,,,0,,
125-0725651,301.513018,35.551874,6.722222e-05,6.0277776e-05,1,17.06,0.117,1,16.016,0.08,0,,,2,16.628,0.003,2,15.644,0.011,2,15.234,0.016,0,,,0,,
125-0725347,301.489103,35.565533,5.1388888e-05,3.5555557e-05,2,12.958,0.011,2,12.367,0.003,0,,,2,12.613,0.012,2,12.229,0.015,2,12.101,0.006,1,12.162,0.046,0,,
125-0725247,301.481418,35.574066,6.0277776e-05,3.7222224e-05,1,16.996,0.103,1,15.299,0.042,0,,,2,16.181,0.059,2,14.68,0.042,2,13.968,0.019,0,,,0,,
125-0725447,301.496452,35.567695,6.8333335e-05,1.6388889e-05,1,17.378,0.159,1,16.337,0.116,0,,,1,17.021,0.094,1,16.145,0.111,1,15.661,0.156,0,,,0,,
125-0725550,301.504275,35.561205,0.00016111111,0.00011666666,2,16.279,0.061,2,15.359,0.019,0,,,1,15.655,0.028,1,15.099,0.044,1,14.846,0.071,0,,,0,,
125-0725685,301.516249,35.556055,6.194445e-05,0.00017138888,0,,,0,,,0,,,1,17.029,0.086,1,16.073,0.096,0,,,0,,,0,,
